date,symbol,open,high,low,close,volume,amount,is_suspended,limit_up,limit_down
2024-01-02,000001.SH,3300.0,3306.6,3293.4,3300.0,1000000,10000000,False,False,False
2024-01-02,588000.SH,1.000841,1.005141,0.99884,1.003134,1018000,10000000,False,False,False
2024-01-02,510300.SH,4.003637,4.022396,3.99563,4.014367,1036000,10000000,False,False,False
2024-01-02,159915.SZ,2.000282,2.005181,1.996282,2.001178,1054000,10000000,False,False,False
2024-01-03,000001.SH,3302.776854,3309.382408,3295.637304,3302.241787,1000130,10000000,False,False,False
2024-01-03,588000.SH,1.004047,1.008768,1.002039,1.006755,1018130,10000000,False,False,False
2024-01-03,510300.SH,4.014933,4.029201,4.006904,4.021159,1036130,10000000,False,False,False
2024-01-03,159915.SZ,1.999664,2.003663,1.993028,1.997022,1054130,10000000,False,False,False
2024-01-04,000001.SH,3305.244507,3312.854399,3298.634018,3306.241915,1000260,10000000,False,False,False
2024-01-04,588000.SH,1.006897,1.011067,1.004883,1.009049,1018260,10000000,False,False,False
2024-01-04,510300.SH,4.018115,4.026152,4.009772,4.017808,1036260,10000000,False,False,False
2024-01-04,159915.SZ,1.995107,1.999097,1.985952,1.989932,1054260,10000000,False,False,False
2024-01-05,000001.SH,3306.708492,3317.759577,3300.095075,3311.137303,1000390,10000000,False,False,False
2024-01-05,588000.SH,1.008285,1.011161,1.006269,1.009142,1018390,10000000,False,False,False
2024-01-05,510300.SH,4.013955,4.021983,3.99968,4.007695,1036390,10000000,False,False,False
2024-01-05,159915.SZ,1.989376,1.993355,1.979641,1.983609,1054390,10000000,False,False,False
2024-01-08,000001.SH,3308.631426,3322.500206,3302.014163,3315.868469,1000520,10000000,False,False,False
2024-01-08,588000.SH,1.008175,1.010191,1.005572,1.007587,1018520,10000000,False,False,False
2024-01-08,510300.SH,4.006575,4.014589,3.98938,3.997375,1036520,10000000,False,False,False
2024-01-08,159915.SZ,1.984912,1.988882,1.97663,1.980591,1054520,10000000,False,False,False
2024-01-09,000001.SH,3312.688802,3326.046011,3306.063424,3319.407197,1000650,10000000,False,False,False
2024-01-09,588000.SH,1.007305,1.00932,1.003794,1.005806,1018650,10000000,False,False,False
2024-01-09,510300.SH,4.000001,4.008001,3.983823,3.991806,1036650,10000000,False,False,False
2024-01-09,159915.SZ,1.98255,1.986515,1.976883,1.980845,1054650,10000000,False,False,False
2024-01-10,000001.SH,3318.479703,3327.622946,3311.842744,3320.980984,1000780,10000000,False,False,False
2024-01-10,588000.SH,1.006466,1.008479,1.002941,1.004951,1018780,10000000,False,False,False
2024-01-10,510300.SH,3.995756,4.003747,3.98326,3.991242,1036780,10000000,False,False,False
2024-01-10,159915.SZ,1.981661,1.98627,1.977698,1.982306,1054780,10000000,False,False,False
2024-01-11,000001.SH,3323.162824,3329.80915,3313.603919,3320.244408,1000910,10000000,False,False,False
2024-01-11,588000.SH,1.005945,1.007957,1.003069,1.005079,1018910,10000000,False,False,False
2024-01-11,510300.SH,3.992887,4.000873,3.98394,3.991923,1036910,10000000,False,False,False
2024-01-11,159915.SZ,1.981227,1.986794,1.977265,1.982828,1054910,10000000,False,False,False
2024-01-12,000001.SH,3323.529319,3330.176378,3310.722385,3317.357099,1001040,10000000,False,False,False
2024-01-12,588000.SH,1.005494,1.007505,1.003228,1.005239,1019040,10000000,False,False,False
2024-01-12,510300.SH,3.989752,3.997793,3.981772,3.989814,1037040,10000000,False,False,False
2024-01-12,159915.SZ,1.980846,1.985996,1.976884,1.982032,1055040,10000000,False,False,False
2024-01-15,000001.SH,3318.724243,3325.361692,3306.322985,3312.948883,1001170,10000000,False,False,False
2024-01-15,588000.SH,1.004692,1.006701,1.002364,1.004373,1019170,10000000,False,False,False
2024-01-15,510300.SH,3.985824,3.993795,3.976443,3.984412,1037170,10000000,False,False,False
2024-01-15,159915.SZ,1.980969,1.985552,1.977007,1.981588,1055170,10000000,False,False,False
2024-01-16,000001.SH,3311.146569,3317.768862,3301.363881,3307.979841,1001300,10000000,False,False,False
2024-01-16,588000.SH,1.003369,1.005376,1.000322,1.002326,1019300,10000000,False,False,False
2024-01-16,510300.SH,3.982274,3.990239,3.97163,3.979589,1037300,10000000,False,False,False
2024-01-16,159915.SZ,1.982421,1.987688,1.978456,1.983721,1055300,10000000,False,False,False
2024-01-17,000001.SH,3304.671893,3311.281237,3296.921349,3303.528406,1001430,10000000,False,False,False
2024-01-17,588000.SH,1.001788,1.003792,0.998135,1.000136,1019430,10000000,False,False,False
2024-01-17,510300.SH,3.981261,3.989224,3.972722,3.980684,1037430,10000000,False,False,False
2024-01-17,159915.SZ,1.985686,1.993099,1.981714,1.989121,1055430,10000000,False,False,False
2024-01-18,000001.SH,3301.755822,3308.359333,3293.955369,3300.556482,1001560,10000000,False,False,False
2024-01-18,588000.SH,1.000556,1.002557,0.997352,0.999351,1019560,10000000,False,False,False
2024-01-18,510300.SH,3.984627,3.998092,3.976658,3.990112,1037560,10000000,False,False,False
2024-01-18,159915.SZ,1.990414,1.999924,1.986434,1.995932,1055560,10000000,False,False,False
2024-01-19,000001.SH,3301.943267,3308.547154,3293.103943,3299.70335,1001690,10000000,False,False,False
2024-01-19,588000.SH,1.000341,1.002887,0.99834,1.000886,1019690,10000000,False,False,False
2024-01-19,510300.SH,3.992707,4.012879,3.984721,4.004869,1037690,10000000,False,False,False
2024-01-19,159915.SZ,1.995358,2.004654,1.991367,2.000653,1055690,10000000,False,False,False
2024-01-22,000001.SH,3302.97206,3309.578004,3294.548672,3301.150974,1001820,10000000,False,False,False
2024-01-22,588000.SH,1.001536,1.006276,0.999533,1.004268,1019820,10000000,False,False,False
2024-01-22,510300.SH,4.003716,4.025912,3.995709,4.017876,1037820,10000000,False,False,False
2024-01-22,159915.SZ,1.998729,2.004412,1.994732,2.000411,1055820,10000000,False,False,False
2024-01-23,000001.SH,3303.297673,3311.195878,3296.691077,3304.586705,1001950,10000000,False,False,False
2024-01-23,588000.SH,1.003978,1.00986,1.00197,1.007845,1019950,10000000,False,False,False
2024-01-23,510300.SH,4.014013,4.030448,4.005985,4.022403,1037950,10000000,False,False,False
2024-01-23,159915.SZ,1.998909,2.002907,1.991027,1.995017,1055950,10000000,False,False,False
2024-01-24,000001.SH,3303.635303,3315.88823,3297.028033,3309.26969,1002080,10000000,False,False,False
2024-01-24,588000.SH,1.006876,1.011842,1.004862,1.009822,1020080,10000000,False,False,False
2024-01-24,510300.SH,4.019383,4.027421,4.008491,4.016524,1038080,10000000,False,False,False
2024-01-24,159915.SZ,1.995316,1.999306,1.983224,1.987198,1056080,10000000,False,False,False
2024-01-25,000001.SH,3306.088167,3320.816123,3299.475991,3314.187747,1002210,10000000,False,False,False
2024-01-25,588000.SH,1.009064,1.011448,1.007046,1.009429,1020210,10000000,False,False,False
2024-01-25,510300.SH,4.017126,4.02516,3.996289,4.004298,1038210,10000000,False,False,False
2024-01-25,159915.SZ,1.989013,1.992991,1.976839,1.980801,1056210,10000000,False,False,False
2024-01-26,000001.SH,3311.698834,3324.910303,3305.075437,3318.273755,1002340,10000000,False,False,False
2024-01-26,588000.SH,1.00958,1.0116,1.005341,1.007355,1020340,10000000,False,False,False
2024-01-26,510300.SH,4.007954,4.01597,3.984754,3.992739,1038340,10000000,False,False,False
2024-01-26,159915.SZ,1.982458,1.986423,1.974352,1.978309,1056340,10000000,False,False,False
2024-01-29,000001.SH,3318.771089,3327.278485,3312.133547,3320.63721,1002470,10000000,False,False,False
2024-01-29,588000.SH,1.008275,1.010291,1.003131,1.005142,1020470,10000000,False,False,False
2024-01-29,510300.SH,3.99608,4.004072,3.978975,3.986949,1038470,10000000,False,False,False
2024-01-29,159915.SZ,1.978291,1.983466,1.974335,1.979507,1056470,10000000,False,False,False
2024-01-30,000001.SH,3323.66877,3330.316108,3314.119094,3320.760615,1002600,10000000,False,False,False
2024-01-30,588000.SH,1.005982,1.007994,1.001999,1.004007,1020600,10000000,False,False,False
2024-01-30,510300.SH,3.986914,3.995056,3.97894,3.987081,1038600,10000000,False,False,False
2024-01-30,159915.SZ,1.977832,1.98607,1.973876,1.982106,1056600,10000000,False,False,False
2024-01-31,000001.SH,3323.538949,3330.186026,3311.978215,3318.615446,1002730,10000000,False,False,False
2024-01-31,588000.SH,1.003999,1.00604,1.001991,1.004031,1020730,10000000,False,False,False
2024-01-31,510300.SH,3.983707,3.997147,3.97574,3.989169,1038730,10000000,False,False,False
2024-01-31,159915.SZ,1.980311,1.987724,1.976351,1.983756,1056730,10000000,False,False,False
